SailNo,Sailmaker,Confidence,Source,AsOf,Note
GBR1702T,Sanders,high,https://sanders-sails.co.uk/ross-applebey/,2025-01-01,Sanders' own site names Scarlet Oyster; mainsail delivered 2019 still in use
GBR1010X,Sanders,high,https://sanders-sails.co.uk/mark-brown/,2025-01-01,Sanders' own site; bespoke wardrobe for Solent racing; 2025 campaign described
GBR9972L,Sanders,medium,https://sanders-sails.co.uk/becky-walford/,2025-01-01,Sanders' site says Walford J/92 has a full suit; two BRENDAS J records exist so boat identity not certain
GBR111N,North Sails,medium,https://www.northsails.com/en-dach/blogs/north-sails-blog/another-successful-year-at-cowes-week,2018-08-11,North Sails Cowes Week 2018 customer list; owner Tony Mack matches
GBR7122X,North Sails,medium,https://www.northsails.com/en-dach/blogs/north-sails-blog/another-successful-year-at-cowes-week,2018-08-11,North Sails Cowes Week 2018; owner Christopher Daniel matches
GBR8414R,North Sails,medium,https://www.northsails.com/en-dach/blogs/north-sails-blog/another-successful-year-at-cowes-week,2018-08-11,North Sails Cowes Week 2018; Sam Laidlaw Quarter Ton matches on name owner and type
GBR50R,North Sails,medium,https://www.northsails.com/en-dach/blogs/north-sails-blog/another-successful-year-at-cowes-week,2018-08-11,North Sails Cowes Week 2018; Peter Morton Girls On Film
NZL3494,North Sails,medium,https://www.northsails.com/en-dach/blogs/north-sails-blog/another-successful-year-at-cowes-week,2018-08-11,North Sails Cowes Week 2018; Phil Plumtree Swuzzlebubble
GBR4863R,North Sails,medium,https://www.northsails.com/en-dach/blogs/north-sails-blog/another-successful-year-at-cowes-week,2018-08-11,North Sails Cowes Week 2018; article says JPK 11.80 but owner Adam Gosling and name YES! match the JPK 1080
