KeepSailNo,MergeSailNo,Notes
GBR8708R,GBR8708,name:APE-X||X-332
3417,R3417,name:BOOMERANG||ADAMS 10
BER11,GBR11,name:FREQUENT FLYER||J/111
NED9101,FRA27868,name:J-BLUE||JPK 960
GBR5905R,GBR5905,name:JAVELIN||J/105
GBR2091R,GBR2091,name:JENIE||J/109
GBR1415L,GB1415L,name:MAD DASH||ELAN 410
GBR3061X,BEL35080,name:NJORD||A35
MLT47,USA47,name:OTRA VEZ||J/122
GBR912R,GBR1602,name:POLKA||FIRST
GBR5731L,GBR5731R,name:STICKLEBACK||J/45
GBR133N,GBR133L,sailno:GBR133||J/133
GBR7909,GBR7909R,sailno:GBR7909||J/109
GBR2R,GBR2L,sailno:GBR2||J/109
GBR4436,GBR4436L,sailno:GBR4436||JPK 1080
GBR112N,GBR112X,sailno:GBR112||J/112E
GBR9700N,GBR9700,sailno:GBR9700||J/97
GBR9778R,GBR9778,sailno:GBR9778||SUN FAST 3200
