KeepSailNo,MergeSailNo,Notes
GBR9066R,GBR9066,name:BLACKJACK||J/99
IRL8088,GBR8088,name:FRANK 4||J/109
BER11,GBR7811R,name:FREQUENT FLYER||J/111
FRA35914,ITA3202,name:HAKUNA MATATA||SUN FAST 3200
FRA35914,FRA6374,name:HAKUNA MATATA||SUN FAST 3200
GBR9109T,GBR9190T,name:RED ARROW||J/109
GBR9109T,GBR9010T,name:RED ARROW||J/109
GBR7699R,IRL1699,name:SNAPSHOT||J/99
GBR9868,GBR9868T,sailno:GBR9868||J/122
GBR8140X,GBR8140C,sailno:GBR8140||FIRST 40
GBR8529,GBR8529R,sailno:GBR8529||J/109
GBR6639,GBR6639R,sailno:GBR6639||FIRST
