EventName,Year,Entries,Segment,Disposition,SourceFile
Round Britain and Ireland Race,2025,36,Premier Race,match-or-discard,2026\8. August\Round Britain and Ireland Race [Aug 9].xlsx
IRC European Championships 2025,2025,33,Premier Race,new event,2025\10. October\IRC European Championships 2025.xlsx
Antigua Sailing Week,2026,32,Premier Race,new event,2026\4. April\Antigua Sailing Week [April 22-26].xlsx
Helly Hansen Sailing World Regatta,2026,496,Race,new event,2026\2. February\Helly Hansen Sailing World Regatta [Feb 13 - 15].xlsx
RORC Cowes-Dinard-St Malo Race,2025,285,Race,match-or-discard,2025\7. July\RORC Cowes-Dinard-St Malo Race [11 July].xlsx
Helly Hansen Sailing World Regatta Series - Annapolis,2025,260,Race,new event,2025\5. May\Helly Hansen Sailing World Regatta Series - Annapolis [May 2-4].xlsx
Susan Hood Regatta,2026,217,Race,new event,2026\5. May\🔷Susan Hood Regatta [May 29].xlsx
Sailing World Regatta,2026,175,Race,new event,2026\5. May\Sailing World Regatta [May 1-3].xlsx
Vineyard Race,2025,165,Race,new event,2025\8. August\Vineyard Race [Aug 29 - 30].xlsx
Cowes Dinard St Malo Race,2026,154,Race,match-or-discard,2026\7. July\Cowes Dinard St Malo Race [Jul 3-4].xlsx
49ers 2026 European Championship,2026,141,Race,new event,2026\7. July\49ers 2026 European Championship [Jul 7-12].xlsx
RORC Myth Of Malham Maketshare 2025,2025,134,Race,match-or-discard,2025\5. May\RORC Myth Of Malham Maketshare 2025.xlsx
Verve Cup,2024,134,Race,new event,August Marketshares 2024\Verve Cup [August 9-11].xlsx
Queen's Cup Race,2026,132,Race,new event,2026\6. June\🔷 Queen's Cup Race [June 27].xlsx
Round the County,2025,130,Race,new event,2025\11. November\Round the County [Nov 7-9] .xlsx
Helly Hansen Sailing World Regatta Series - Chicago,2025,120,Race,new event,2025\6. June\Helly Hansen Sailing World Regatta Series - Chicago [June 6-9].xlsx
Drheam Cup,2026,118,Race,match-or-discard,2026\7. July\Drheam Cup [Jul 9 - 18].xlsx
NordSeeWoche,2026,118,Race,new event,2026\5. May\NordSeeWoche [May 22-25].xlsx
North Sea Regatta,2026,116,Race,new event,2026\5. May\North Sea Regatta [May 12-25].xlsx
RORC Cervantes Trophy,2025,111,Race,match-or-discard,2025\5. May\RORC Cervantes Trophy (May 3).xlsx
RORC North Sea Race,2026,109,Race,match-or-discard,2026\5. May\RORC North Sea Race [May 15].xlsx
151 Miglia - Trofeo Cetilar,2026,108,Race,new event,2026\5. May\151 Miglia - Trofeo Cetilar [May30-June 1].xlsx
Trofeo La Reina,2025,106,Race,new event,2025\7. July\Trofeo La Reina [Jun26-Jul6].xlsx
Sailing World Series - Detroit,2026,105,Race,new event,2026\5. May\Sailing World Series - Detroit [May 29-31].xlsx
RORC North Sea Race 2025,2025,105,Race,match-or-discard,2025\6. June\RORC North Sea Race Marketshare 2025.xlsx
Verve Cup Offshore,2025,103,Race,new event,2026\8. August\Verve Cup Offshore.xlsx
Little Traverse Yacht Club - Ugotta Regatta,2025,98,Race,new event,2025\7. July\Little Traverse Yacht Club - Ugotta Regatta [July 25-28].xlsx
Round Saltspring,2026,97,Race,new event,2026\5. May\Round Saltspring [May 15-17].xlsx
49ers 2026 Junior World Championship,2026,96,Race,new event,2026\7. July\49ers 2026 Junior World Championship .xlsx
Helly Hansen Sailing World Regatta Series - Marblehead,2025,96,Race,new event,2025\7. July\Helly Hansen Sailing World Regatta Series - Marblehead [July 24 - 28].xlsx
Ugotta Regatta,2026,94,Race,new event,2026\7. July\Ugotta Regatta [July 24-26].xlsx
49ers 2026 World Championship,2026,92,Race,new event,2026\5. May\49ers 2026 World Championship.xlsx
RORC Cervantes Trophy Race,2026,89,Race,match-or-discard,2026\5. May\RORC Cervantes Trophy Race [TBD].xlsx
Yachting Cup,2025,89,Race,new event,2025\5. May\Yachting Cup [May 2-4].xlsx
Queen's Cup Race,2025,88,Race,new event,2025\6. June\Queen's Cup Race [June 27].xlsx
"Helly Hansen Sailing World Regatta Series, Detroit",2025,83,Race,new event,"2025\5. May\Helly Hansen Sailing World Regatta Series, Detroit [May 30-June 1].xlsx"
AMERICAS CUP EVENTS 2024 MASTER,2024,82,Race,new event,AMERICAS CUP EVENTS 2024 MASTER.xlsx
RORC Morgan Cup 2025,2025,81,Race,match-or-discard,2025\6. June\RORC Morgan Cup Marketshare 2025.xlsx
Verve Cup Offshore,2026,80,Race,new event,2026\8. August\Verve Cup Offshore.xlsx
Safe Harbor Race Weekend,2025,80,Race,new event,2026\8. August\Safe Harbor Race Weekend [Aug 8 - 10].xlsx
Cow Bay Regatta,2026,77,Race,new event,2026\8. August\🔹 Cow Bay Regatta.xlsx
Cabbage Tree Island Race,2025,77,Race,new event,2025\12. December\Cabbage Tree Island Race.xlsx
EYC Open,2025,76,Race,new event,2025\8. August\EYC Open.xlsx
Round Bowen,2026,75,Race,new event,2026\6. June\Round Bowen [June 13-14].xlsx
Lake Ontario 300-600 Challenge,2025,74,Race,new event,2025\7. July\🔷 Lake Ontario 300-600 Challenge [July 12].xlsx
Safe Harbor Race Weekend,2026,73,Race,new event,2026\8. August\Safe Harbor Race Weekend [Aug 8 - 10].xlsx
Southern Straits Race,2026,73,Race,new event,2026\4. April\Southern Straits Race [April 3-5].xlsx
Trofeo S.M. La Reina,2026,73,Race,new event,2026\6. June\Trofeo S.M. La Reina [Jun 26 - Jul 5].xlsx
Annapolis to Newport,2025,73,Race,new event,2025\6. June\Annapolis to Newport [June 6].xlsx
Safe Harbor Race Weekend,2024,73,Race,new event,August Marketshares 2024\Safe Harbor Race Weekend [Aug 9 - 12].xlsx
RORC De Guingand Bowl,2025,72,Race,match-or-discard,2025\5. May\RORC De Guingand Bowl (May 17-18).xlsx
American Yacht Club Fall Series,2025,70,Race,new event,2026\9. September\American Yacht Club Fall Series [Sept 27 - 28] & [Oct 4 - 5].xlsx
ORC World Championship,2025,70,Race,new event,2025\8. August\ORC World Championship [Aug 8 - Aug 16].xlsx
Cascais Vela,2025,68,Race,new event,2025\8. August\Cascais Vela [29 - 31 August].xlsx
Cow Bay Regatta,2025,66,Race,new event,2026\8. August\🔹 Cow Bay Regatta.xlsx
Marstrand Big Boat Race,2026,64,Race,new event,2026\5. May\Marstrand Big Boat Race [May 22-24].xlsx
ORC European Championships,2024,63,Race,new event,August Marketshares 2024\ORC European Championships [Aug 9-17].xlsx
Boothbay Harbor Yacht Club Regatta,2025,61,Race,new event,2026\7. July\Boothbay Harbor Yacht Club Regatta.xlsx
Vineyard Race,2026,60,Race,new event,2026\9. September\Vineyard Race [Sept 4-6].xlsx
Southern Bay Race Week,2026,57,Race,new event,2026\5. May\Southern Bay Race Week [May 29-31].xlsx
Noakes Sydney Gold Coast Yacht Race,2025,56,Race,new event,2025\7. July\Noakes Sydney Gold Coast Yacht Race.xlsx
Primo Cup - Tropheé UBS,2026,55,Race,new event,2026\3. March\Primo Cup - Tropheé UBS [Mar 5-8].xlsx
Marblehead - to - Halifax Ocean Race,2025,55,Race,new event,2025\7. July\Marblehead - to - Halifax Ocean Race [July 6-8].xlsx
LO300 Regatta,2026,54,Race,new event,2026\7. July\LO300 Regatta.xlsx
Noakes Sydney Gold Coast Yacht Race,2026,54,Race,new event,2025\7. July\Noakes Sydney Gold Coast Yacht Race.xlsx
RORC Channel Race,2026,54,Race,match-or-discard,2026\7. July\RORC Channel Race [Jul 25-26].xlsx
RORC Cherbourg Race,2026,54,Race,match-or-discard,2026\9. September\RORC Cherbourg Race.xlsx
BVI Spring Regatta and Sailing Festival,2026,53,Race,new event,2026\3. March\BVI Spring Regatta and Sailing Festival [March 23-26].xlsx
RORC Morgan Cup,2026,53,Race,match-or-discard,2026\6. June\RORC Morgan Cup [June 12].xlsx
ORC DH World Championship,2025,51,Race,new event,2025\9. September\ORC DH World Championship [7-13 Sept].xlsx
ORC DH World Championship [May,2025,51,Race,new event,2025\9. September\ORC DH World Championship [May .xlsx
Pacific Cup,2026,50,Race,new event,2026\7. July\Pacific Cup [July 6-10].xlsx
2025 J-70 Mixed Plus World Championship,2025,50,Race,new event,2025\6. June\2025 J-70 Mixed Plus World Championship [26-29 June].xlsx
Stellendam,2025,50,Race,new event,2025\5. May\Stellendam Marketshare [May 3-5].xlsx
IX Copa Mediterraneo,2026,48,Race,new event,2026\2. February\IX Copa Mediterraneo [Feb 18-22].xlsx
Annapolis Yacht Club Fall Series,2025,48,Race,new event,2025\10. October\Annapolis Yacht Club Fall Series [Sep 27-28] & [Oct 4-5].xlsx
Pacific NW Offshore,2026,47,Race,new event,2026\5. May\Pacific NW Offshore [May 14 - 17].xlsx
Ida Lewis Distance Race,2024,47,Race,new event,2026\8. August\Ida Lewis Distance Race.xlsx
Van Isle 360,2025,45,Race,new event,2025\5. May\Van Isle 360 [May 31 - June 14].xlsx
Boothbay Harbor Yacht Club Regatta,2026,44,Race,new event,2026\7. July\Boothbay Harbor Yacht Club Regatta.xlsx
NYYC Race Week,2026,44,Race,new event,2026\7. July\NYYC Race Week [July 16-19].xlsx
Patos Island Race,2025,44,Race,new event,2025\3. March\Patos Island Race [Mar 29-30].xlsx
Palermo - Montecarlo,2024,44,Race,new event,August Marketshares 2024\Palermo - Montecarlo [August 20].xlsx
The Wetherill Race,2026,43,Race,new event,2026\5. May\The Wetherill Race [May 29-30].xlsx
Annapolis Yacht Club Fall Series - Sept,2025,43,Race,new event,2025\9. September\Annapolis Yacht Club Fall Series (1-2) - Sept [27-28].xlsx
Flinders Islet Race,2026,40,Race,new event,2026\9. September\Flinders Islet Race [Sept 26].xlsx
RORC Cherbourg Race,2025,40,Race,match-or-discard,2026\9. September\RORC Cherbourg Race.xlsx
Screwpile Lighthouse Challenge,2024,40,Race,new event,August Marketshares 2024\Screwpile Lighthouse Challenge [July 19-21].xlsx
American Yacht Club Fall Series,2026,39,Race,new event,2026\9. September\American Yacht Club Fall Series [Sept 27 - 28] & [Oct 4 - 5].xlsx
Yachting Cup,2026,38,Race,new event,2026\5. May\Yachting Cup [May1-3].xlsx
Pacific Coast Championship,2024,38,Race,new event,August Marketshares 2024\Pacific Coast Championship [August 2-4].xlsx
ORC European Championship,2026,37,Race,new event,2026\8. August\ORC European Championship [Aug7-15].xlsx
Stellendam,2026,37,Race,new event,2026\5. May\🔹Stellendam [May 2-3].xlsx
Garmin ORC DH European Championships,2025,37,Race,new event,2025\7. July\Garmin ORC DH European Championships [July 5-7].xlsx
AYC Spring Series,2026,36,Race,new event,2026\5. May\AYC Spring Series [May 1-3].xlsx
C&C Rendezvous,2025,36,Race,new event,2026\8. August\🔷C&C Rendezvous [Aug 7-9].xlsx
Nantucket Regatta,2025,36,Race,new event,2026\8. August\Nantucket Regatta [Aug 14-15].xlsx
ORC European Championship,2025,36,Race,new event,2026\8. August\ORC European Championship [Aug7-15].xlsx
Southern Bay Race Week,2025,36,Race,new event,2025\5. May\Southern Bay Race Week [May 29 - June 1].xlsx
Verve Cup Inshore,2025,36,Race,new event,2026\8. August\Verve Cup Inshore [Aug 21-23].xlsx
Baltic 500,2026,35,Race,new event,2026\5. May\Baltic 500 [May 14th].xlsx
Barcelona Winter Series Event 6,2026,35,Race,new event,2026\2. February\Barcelona Winter Series Event 6 [Feb 20 - 22].xlsx
La Larga Offshore Race,2026,35,Race,new event,2026\4. April\La Larga Offshore Race [April 23-27].xlsx
RORC Nelson’s Cup Inshore Series,2026,35,Race,new event,2026\2. February\RORC Nelson’s Cup Inshore Series [Feb17-18].xlsx
The Hook Race,2026,35,Race,new event,2026\7. July\🔷The Hook Race [July 18-20].xlsx
MaiOR Offshore Regatta,2025,35,Race,new event,2025\5. May\MaiOR Offshore Regatta (May 2-4).xlsx
Bay of Islands Sailing Week,2026,34,Race,new event,2026\1. January\🔷Bay of Islands Sailing Week.xlsx
Patos Island Race,2026,33,Race,new event,2026\3. March\🔷Patos Island Race [March 21 - 22].xlsx
Ted Hood Regatta,2026,33,Race,new event,2026\8. August\Ted Hood Regatta.xlsx
Susan Hood Trophy,2025,33,Race,new event,2025\5. May\Susan Hood Trophy [May 30].xlsx
ORC Double Handed World Championship,2026,32,Race,new event,2026\5. May\ORC Double Handed World Championship [May 21-25].xlsx
Sail Paradise & Australian Yachting Championships - Southport (Queensland),2026,32,Race,new event,2026\10. October\Sail Paradise & Australian Yachting Championships - Southport (Queensland) [Oct 2-5].xlsx
Race to Kingston,2024,32,Race,new event,August Marketshares 2024\Race to Kingston [Aug 16 - 19].xlsx
2026 Race to Kingston,2026,31,Race,new event,2026\8. August\2026 Race to Kingston .xlsx
69th Annual MBYC Labour Day Regatta,2026,31,Race,new event,2026\9. September\69th Annual MBYC Labour Day Regatta[Sep 5-6].xlsx
HOOK Race,2025,31,Race,new event,2025\7. July\HOOK Race [July 12-14].xlsx
Essex Rum Challenge,2026,30,Race,new event,2026\7. July\Essex Rum Challenge [July 18].xlsx
SoCal 300,2026,30,Race,new event,2026\5. May\SoCal 300 .xlsx
Palermo-MonteCarlo,2026,29,Race,new event,2026\8. August\Palermo-MonteCarlo [Aug 18-23].xlsx
Sam Wetherill Race,2025,29,Race,new event,2025\5. May\Sam Wetherill Race [May 16 - 17].xlsx
Ted Hood Regatta,2025,28,Race,new event,2026\8. August\Ted Hood Regatta.xlsx
CYC Regatta,2026,27,Race,new event,2025\7. July\CYC Regatta [July 25-26].xlsx
RORC Cherbourg Race,2026,27,Race,match-or-discard,2026\9. September\RORC Cherbourg Race.xlsx
EYC Open,2024,27,Race,new event,August Marketshares 2024\EYC Open [Aug 24 - 25].xlsx
NYC Open,2024,27,Race,new event,August Marketshares 2024\NYC Open [June 10].xlsx
2026 SORC Lauderdale to Key West Race,2026,26,Race,new event,2026\1. January\2026 SORC Lauderdale to Key West Race.xlsx
MaiOR Offshore Regatta,2026,26,Race,new event,2025\5. May\MaiOR Offshore Regatta (May 2-4).xlsx
RORC Myth of Malham,2026,26,Race,match-or-discard,2026\5. May\RORC Myth of Malham [TBD].xlsx
EYC Open,2025,26,Race,new event,2025\8. August\EYC Open.xlsx
AYC Fall Series Weekend 2,2026,25,Race,new event,2026\10. October\AYC Fall Series Weekend 2 [Oct 3-4].xlsx
Ida Lewis Distance Race,2026,25,Race,new event,2026\8. August\Ida Lewis Distance Race.xlsx
Salish Sea Regatta,2026,25,Race,new event,2026\9. September\Salish Sea Regatta [Sept. 11-13].xlsx
ABYC Open,2026,23,Race,new event,2026\5. May\ABYC Open [May 24-26].xlsx
Nantucket Regatta,2026,22,Race,new event,2026\8. August\Nantucket Regatta [Aug 14-15].xlsx
2025 J-24 European Championship,2025,22,Race,new event,2025\7. July\2025 J-24 European Championship [7-12 July].xlsx
SOAR,2025,22,Race,new event,2025\7. July\🔷 SOAR [July 18-20].xlsx
SOAR,2025,22,Race,new event,2026\7. July\🔷 SOAR .xlsx
Annapolis to Bermuda,2026,21,Race,new event,2026\6. June\Annapolis to Bermuda [June 5-13].xlsx
Cow Bay Regatta,2026,21,Race,new event,2026\8. August\🔹 Cow Bay Regatta.xlsx
Cyclades Cup,2026,21,Race,new event,2026\6. June\Cyclades Cup [Jun 13th - 16th].xlsx
Go4Speed,2025,21,Race,new event,2025\5. May\Go4Speed (April30-May1).xlsx
AYC Spring Series,2025,20,Race,new event,2025\5. May\AYC Spring Series [May 2 -4].xlsx
Labour Day Regatta,2025,20,Race,new event,2025\8. August\🔹 Labour Day Regatta [Aug 29-31].xlsx
SY Equipment Details_072025,2025,19,Race,new event,2025\General Info & Boat Intel\SY Equipment Details_072025.xlsx
The Essex Rum Challenge,2025,19,Race,new event,2025\6. June\The Essex Rum Challenge [June 21].xlsx
RORC Easter Challenge,2026,18,Race,match-or-discard,2026\4. April\RORC Easter Challenge.xlsx
Commodores Cup Regatta,2025,18,Race,new event,2025\8. August\Commodores Cup Regatta [Aug 15-17].xlsx
Antigua 360 Race,2026,17,Race,new event,2026\2. February\Antigua 360 Race [Feb 20].xlsx
Verve Cup Inshore,2026,16,Race,new event,2026\8. August\Verve Cup Inshore [Aug 21-23].xlsx
Mirpuri Foundation Sailing Trophy,2025,16,Race,new event,2025\7. July\Mirpuri Foundation Sailing Trophy [Jul 4 - 6].xlsx
MOHOSA,2024,15,Race,new event,August Marketshares 2024\🔷MOHOSA [July 24 - 28].xlsx
North Sound Regatta,2026,11,Race,new event,2026\3. March\North Sound Regatta [March 20-24].xlsx
THRASH,2026,11,Race,new event,2026\6. June\THRASH [June 19-21].xlsx
Course Des Caps,2025,11,Race,new event,2025\6. June\Course Des Caps Marketshare.xlsx
SORC Sailor's Choice Race,2025,11,Race,new event,2025\11. November\SORC Sailor's Choice Race [Nov 21].xlsx
Bermuda Gold Cup,2026,10,Race,new event,2026\10. October\Bermuda Gold Cup [Oct. 13-18].xlsx
Ted Hood Regatta,2024,10,Race,new event,August Marketshares 2024\Ted Hood Regatta [Aug 16 - 18].xlsx
Antigua Bermuda Race 2026,2026,9,Race,new event,2026\4. April\Antigua Bermuda Race 2026.xlsx
Howe Sound Regatta,2026,7,Race,new event,2026\9. September\Howe Sound Regatta [26-27].xlsx
RNSA Regatta,2026,7,Race,match-or-discard,2026\6. June\🔷RNSA Regatta.xlsx
Macatawa Challenge,2025,7,Race,new event,2025\10. October\Macatawa Challenge [Oct 3-5].xlsx
TCYC English Bay Scramble,2025,7,Race,new event,2025\8. August\TCYC English Bay Scramble [Aug 16].xlsx
Multihull Cup 2025,2026,6,Race,new event,2025\9. September\Multihull Cup 2025 Marketshare.xlsx
Multihull Cup,2024,6,Race,new event,August Marketshares 2024\Multihull Cup [Aug 27 - 29].xlsx
Withby 100 Miler,2026,5,Race,new event,2026\9. September\Withby 100 Miler [Sep 12-13].xlsx
Multihull Cup Sept. 25-27,2026,4,Race,new event,2026\9. September\Multihull Cup Sept. 25-27.xlsx
Multihull Cup 2025,2025,4,Race,new event,2025\9. September\Multihull Cup 2025 Marketshare.xlsx
