EventName,Year,Entries,Segment,Disposition,SourceFile
470 Worlds 2025,2025,293,One-Design,new event,2025\6. June\470 Worlds Marketshare 2025.xlsx
J70 Midwinter Championship 1,2026,218,One-Design,new event,2026\3. March\🔷J70 Midwinter Championship [Mar 27-29]1.xlsx
OK Worlds,2025,216,One-Design,new event,2025\9. September\OK Worlds [Sep 12-19].xlsx
OK World Championships,2026,205,One-Design,new event,2026\6. June\OK World Championships [Jun 5-12].xlsx
Bacardi Cup,2026,175,One-Design,new event,2026\3. March\🔷Bacardi Cup [March 1-7].xlsx
Etchells Biscayne Bay Series,2026,157,One-Design,new event,2026\2. February\Etchells Biscayne Bay Series.xlsx
Star World Championships,2025,108,One-Design,new event,2025\9. September\Star World Championships [Sep 5 - 13].xlsx
J70 World Championships,2026,107,One-Design,new event,2026\9. September\J70 World Championships [Sep 4 - 12].xlsx
J70 European Championship 2026 Barcelona,2026,104,One-Design,new event,2026\7. July\J70 European Championship 2026 Barcelona [July 20 - 26].xlsx
CLUBSWAN 28 USA LEAGUE EVENT 3,2026,98,One-Design,new event,2026\6. June\CLUBSWAN 28 USA LEAGUE EVENT 3 [JUNE 10-14].xlsx
J70 Corinthian World Championships 2026,2026,94,One-Design,new event,2026\5. May\J70 Corinthian World Championships 2026 [May 23-30].xlsx
J70 European Championship 2026 Barcelona,2026,94,One-Design,new event,2026\7. July\J70 European Championship 2026 Barcelona [July 20 - 26].xlsx
Finn Gold Cup,2025,86,One-Design,new event,2025\8. August\Finn Gold Cup [Aug 30 - Sep 6].xlsx
Etchells Worlds,2026,77,One-Design,new event,2026\5. May\🔷 Etchells Worlds [May 11-15].xlsx
2025 J70 World Championship,2025,77,One-Design,new event,2025\10. October\2025 J70 World Championship [24 October - November 1].xlsx
E Scow Nationals,2026,75,One-Design,new event,2026\9. September\E Scow Nationals [Sept 10-13].xlsx
Crescent One Design Regatta,2025,66,One-Design,new event,2025\6. June\Crescent One Design Regatta [June 13-15].xlsx
Dragon European Championship 2026,2026,65,One-Design,new event,2026\6. June\Dragon European Championship 2026.xlsx
Lightning North American Championship,2024,64,One-Design,new event,August Marketshares 2024\Lightning North American Championship [Aug 7 - 11].xlsx
Star Winter Series 2025-26,2025,60,One-Design,new event,2026\2. February\Star Winter Series 2025-26.xlsx
Bacardi Winter Series 2026,2026,57,One-Design,new event,2026\2. February\Bacardi Winter Series 2026.xlsx
Dragon Gold Cup,2026,56,One-Design,new event,2026\3. March\Dragon Gold Cup [Mar 16-21].xlsx
J70 North American Championship,2025,55,One-Design,new event,2025\12. December\J70 North American Championship (Winter Series 1-3) [Dec 1-6]  .xlsx
Deep South Lightning Regatta,2025,54,One-Design,new event,2025\3. March\Deep South Lightning Regatta [Mar 20 - 22].xlsx
Lightning NAs 2025,2025,53,One-Design,new event,2025\9. September\Lightning NAs 2025 [23-27].xlsx
2026 Crescent One Design Regatta,2026,52,One-Design,new event,2026\6. June\2026 Crescent One Design Regatta [13-15].xlsx
2025 J70 European Championship,2025,52,One-Design,new event,2025\8. August\2025 J70 European Championship [23-30 August].xlsx
J70 North American Championship Winter Series,2026,51,One-Design,new event,2026\2. February\J70 North American Championship Winter Series.xlsx
2026 Flying Scot Midwinters,2026,50,One-Design,new event,2026\3. March\🔷2026 Flying Scot Midwinters [March 6-8].xlsx
2025 J24 World Championship,2025,50,One-Design,new event,2025\9. September\2025 J24 World Championship [6 - 14 September].xlsx
Dragon World Champs 2025,2025,50,One-Design,new event,2025\5. May\Dragon World Champs 2025 Marketshare.xlsx
J22 North American Championship,2025,49,One-Design,new event,2025\10. October\J22 North American Championship [Oct 3-5].xlsx
Shark Worlds,2026,47,One-Design,new event,2026\6. June\Shark Worlds [June 27 - July 2].xlsx
Snipe Nationals,2026,46,One-Design,new event,2026\6. June\Snipe Nationals [June 11-14].xlsx
ILYA Inlands,2026,45,One-Design,new event,2026\7. July\ILYA Inlands [July 24-26].xlsx
Melges 24 World Championship,2026,43,One-Design,new event,2026\9. September\Melges 24 World Championship Marketshare.xlsx
Puerto Portals Dragon Winter Series,2026,43,One-Design,new event,2026\1. January\Puerto Portals Dragon Winter Series [Jan 23-25].xlsx
Folkboat Week,2025,42,One-Design,new event,2025\8. August\🔹Folkboat Week [Aug 16-22].xlsx
Thistle Nationals,2026,41,One-Design,new event,2026\7. July\Thistle Nationals [July 25-31].xlsx
Melges 24 Nationals - Bushwhacker Cup,2025,41,One-Design,new event,2025\11. November\Melges 24 Nationals - Bushwhacker Cup [Nov 12-16].xlsx
2026 International 14 World Championship,2026,40,One-Design,new event,2026\8. August\2026 International 14 World Championship .xlsx
J70 Mixed Worlds,2026,40,One-Design,new event,2026\8. August\J70 Mixed Worlds [Aug 10-15].xlsx
J24 US National Championship,2025,40,One-Design,new event,2025\11. November\J24 US National Championship [Nov 19-23].xlsx
Lightning Worlds,2025,40,One-Design,new event,2025\6. June\Lightning Worlds [June 16-21].xlsx
Martin 242 North American Championship,2025,39,One-Design,new event,2025\8. August\Martin 242 North American Championship [Aug 23 - 24].xlsx
VX One North American Championship,2025,39,One-Design,new event,2025\10. October\VX One North American Championship [Oct 15-18].xlsx
2026 Lightning North American Championship,2026,38,One-Design,new event,2026\8. August\2026 Lightning North American Championship [Aug 10-15].xlsx
Etchells Biscayne Bay Series - Louis Piana Cup,2025,38,One-Design,new event,2025\12. December\Etchells Biscayne Bay Series (1-3) - Louis Piana Cup [Dec 13-14].xlsx
2026 J70 US National Championship 1,2026,37,One-Design,new event,2026\7. July\2026 J70 US National Championship [July 10-12]1.xlsx
J70 US National Championship,2025,37,One-Design,new event,2025\5. May\J70 US National Championship [May 15 - 18].xlsx
Melges 15 East Coast Championship,2026,36,One-Design,new event,2026\5. May\Melges 15 East Coast Championship [May 1-3].xlsx
2025 J70 Corinthian World Championship,2025,35,One-Design,new event,2025\9. September\2025 J70 Corinthian World Championship [22 - 28 September].xlsx
2025 Star Class Western Hemisphere Championship,2025,35,One-Design,new event,2025\6. June\2025 Star Class Western Hemisphere Championship [June 12 - 15].xlsx
"2026 Lightning Womens, Juniors, and Masters North American Championships",2026,31,One-Design,new event,"2026\8. August\2026 Lightning Womens, Juniors, and Masters North American Championships [Aug 6-9].xlsx"
2026 Melges 24 US Nationals,2026,31,One-Design,new event,2026\8. August\2026 Melges 24 US Nationals .xlsx
2026 Melges 24 US Nationals,2026,31,One-Design,new event,2026\8. August\2026 Melges 24 US Nationals .xlsx
